,open,high,low,close,volume,return
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,2.33232048,2.34671752,2.31072492,2.31792344,3714033.76,
2021-02-19,2.31792344,2.33232048,2.31072492,2.32512196,2358212.73,0.0031055900621119736
2021-02-20,2.31792344,2.33232048,2.31072492,2.32512196,2358212.73,0.0
2021-02-21,2.31792344,2.33232048,2.31072492,2.32512196,2358212.73,0.0
2021-02-22,2.33232048,2.35391604,2.31072492,2.34671752,4032663.36,0.009287925696594312
2021-02-23,2.339519,2.36831308,2.33232048,2.339519,4059097.12,-0.0030674846625765584
2021-02-24,2.339519,2.34671752,2.31792344,2.31792344,3175614.4,-0.009230769230769265
2021-02-25,2.32512196,2.35391604,2.32512196,2.35391604,3097092.8,0.01552795031055898
2021-02-26,2.339519,2.36111456,2.33232048,2.34671752,3808858.24,-0.003058103975535298
2021-02-27,2.339519,2.36111456,2.33232048,2.34671752,3808858.24,0.0
2021-02-28,2.339519,2.36111456,2.33232048,2.34671752,3808858.24,0.0
2021-03-01,2.34671752,2.36111456,2.33232048,2.339519,2157371.84,-0.0030674846625765584
2021-03-02,2.34671752,2.34671752,2.31072492,2.31072492,2561371.01,-0.012307692307692242
2021-03-03,2.31072492,2.36831308,2.31072492,2.36111456,3645786.24,0.02180685358255441
2021-03-04,2.35391604,2.39710716,2.35391604,2.3755116,4531854.08,0.0060975609756097615
2021-03-05,2.3755116,2.41870272,2.36831308,2.4115042,4377773.92,0.015151515151515138
2021-03-06,2.3755116,2.41870272,2.36831308,2.4115042,4377773.92,0.0
2021-03-07,2.3755116,2.41870272,2.36831308,2.4115042,4377773.92,0.0
2021-03-08,2.41870272,2.4474968,2.39710716,2.41870272,4568227.84,0.0029850746268658135
2021-03-09,2.42590124,2.45469532,2.39710716,2.39710716,3879302.4,-0.008928571428571508
2021-03-10,2.39710716,2.42590124,2.38271012,2.41870272,2067067.77,0.009009009009009139
2021-03-11,2.43309976,2.46909236,2.40430568,2.43309976,3986709.76,0.005952380952380931
2021-03-12,2.42590124,2.4474968,2.40430568,2.43309976,2227469.42,0.0
2021-03-13,2.42590124,2.4474968,2.40430568,2.43309976,2227469.42,0.0
2021-03-14,2.42590124,2.4474968,2.40430568,2.43309976,2227469.42,0.0
2021-03-15,2.43309976,2.47629088,2.41870272,2.46189384,3109148.0,0.01183431952662728
2021-03-16,2.46189384,2.47629088,2.44029828,2.45469532,2180458.07,-0.0029239766081872176
2021-03-17,2.4474968,2.45469532,2.4115042,2.4474968,2241012.93,-0.00293255131964798
2021-03-18,2.44029828,2.46189384,2.43309976,2.44029828,1750022.19,-0.002941176470588336
2021-03-19,2.44029828,2.45469532,2.38990864,2.40430568,2695439.04,-0.014749262536873253
2021-03-20,2.44029828,2.45469532,2.38990864,2.40430568,2695439.04,0.0
2021-03-21,2.44029828,2.45469532,2.38990864,2.40430568,2695439.04,0.0
2021-03-22,2.40430568,2.44029828,2.39710716,2.44029828,2098325.95,0.014970059880239583
2021-03-23,2.44029828,2.46189384,2.41870272,2.44029828,1768610.44,0.0
2021-03-24,2.44029828,2.4474968,2.41870272,2.4474968,2236547.17,0.002949852507374784
2021-03-25,2.4474968,2.45469532,2.40430568,2.40430568,2326179.36,-0.01764705882352957
2021-03-26,2.4115042,2.41870272,2.38271012,2.39710716,2139060.69,-0.0029940119760477613
2021-03-27,2.4115042,2.41870272,2.38271012,2.39710716,2139060.69,0.0
2021-03-28,2.4115042,2.41870272,2.38271012,2.39710716,2139060.69,0.0
2021-03-29,2.38990864,2.44029828,2.38271012,2.43309976,2520924.96,0.01501501501501501
2021-03-30,2.43309976,2.44029828,2.4115042,2.43309976,2076788.89,0.0
2021-03-31,2.42590124,2.4474968,2.41870272,2.4474968,2156340.28,0.00591715976331364
2021-04-01,2.4474968,2.4474968,2.42590124,2.43309976,1319271.19,-0.00588235294117645
2021-04-02,2.43309976,2.44029828,2.39710716,2.4115042,2228531.2,-0.00887573964497046
2021-04-03,2.43309976,2.44029828,2.39710716,2.4115042,2228531.2,0.0
2021-04-04,2.43309976,2.44029828,2.39710716,2.4115042,2228531.2,0.0
2021-04-05,2.43309976,2.44029828,2.39710716,2.4115042,2228531.2,0.0
2021-04-06,2.40430568,2.4115042,2.39710716,2.40430568,989615.06,-0.0029850746268657025
2021-04-07,2.39710716,2.4115042,2.38271012,2.4115042,1794959.28,0.0029940119760480943
2021-04-08,2.40430568,2.4115042,2.39710716,2.40430568,1368786.45,-0.0029850746268657025
2021-04-09,2.40430568,2.41870272,2.39710716,2.41870272,1689938.83,0.005988023952095967
2021-04-10,2.40430568,2.41870272,2.39710716,2.41870272,1689938.83,0.0
2021-04-11,2.40430568,2.41870272,2.39710716,2.41870272,1689938.83,0.0
2021-04-12,2.41870272,2.4474968,2.4115042,2.4474968,1926942.0,0.011904761904761862
2021-04-13,2.4474968,2.45469532,2.42590124,2.44029828,1740652.0,-0.002941176470588336
2021-04-14,2.44029828,2.44029828,2.40430568,2.4115042,1699211.72,-0.01179941002949847
2021-04-15,2.40430568,2.41870272,2.39710716,2.4115042,1291511.23,0.0
2021-04-16,2.4115042,2.41870272,2.40430568,2.4115042,867744.0,0.0
2021-04-17,2.4115042,2.41870272,2.40430568,2.4115042,867744.0,0.0
2021-04-18,2.4115042,2.41870272,2.40430568,2.4115042,867744.0,0.0
2021-04-19,2.4115042,2.42590124,2.40430568,2.4115042,1571886.22,0.0
2021-04-20,2.4115042,2.4115042,2.39710716,2.39710716,1609637.82,-0.005970149253731294
2021-04-21,2.39710716,2.40430568,2.38990864,2.39710716,1113390.53,0.0
2021-04-22,2.40430568,2.40430568,2.36831308,2.3755116,1922218.77,-0.009009009009009139
2021-04-23,2.3755116,2.38271012,2.34671752,2.34671752,2007128.26,-0.012121212121212088
2021-04-24,2.3755116,2.38271012,2.34671752,2.34671752,2007128.26,0.0
2021-04-25,2.3755116,2.38271012,2.34671752,2.34671752,2007128.26,0.0
2021-04-26,2.35391604,2.36111456,2.33232048,2.33232048,1834029.7,-0.006134969325153339
2021-04-27,2.33232048,2.339519,2.31792344,2.32512196,1350030.64,-0.0030864197530863224
2021-04-28,2.33232048,2.33232048,2.31072492,2.31792344,1596444.55,-0.003095975232198178
2021-04-29,2.31792344,2.33232048,2.31072492,2.32512196,2852282.24,0.0031055900621119736
2021-04-30,2.32512196,2.33232048,2.29632788,2.3035264,2602852.0,-0.009287925696594534
2021-05-01,2.32512196,2.33232048,2.29632788,2.3035264,2602852.0,0.0
2021-05-02,2.32512196,2.33232048,2.29632788,2.3035264,2602852.0,0.0
2021-05-03,2.32512196,2.33232048,2.29632788,2.3035264,2602852.0,0.0
2021-05-04,2.32512196,2.33232048,2.29632788,2.3035264,2602852.0,0.0
2021-05-05,2.32512196,2.33232048,2.29632788,2.3035264,2602852.0,0.0
2021-05-06,2.3035264,2.31792344,2.3035264,2.31072492,1526100.95,0.0031250000000000444
2021-05-07,2.31072492,2.34671752,2.31072492,2.339519,2206651.3,0.012461059190031154
2021-05-08,2.31072492,2.34671752,2.31072492,2.339519,2206651.3,0.0
2021-05-09,2.31072492,2.34671752,2.31072492,2.339519,2206651.3,0.0
2021-05-10,2.339519,2.339519,2.31792344,2.33232048,1505542.46,-0.0030769230769231992
2021-05-11,2.33232048,2.35391604,2.32512196,2.34671752,1618162.73,0.006172839506172867
2021-05-12,2.339519,2.36111456,2.33232048,2.35391604,1319707.48,0.0030674846625766694
2021-05-13,2.34671752,2.35391604,2.339519,2.35391604,1058380.97,0.0
2021-05-14,2.35391604,2.36831308,2.34671752,2.36831308,1418803.0,0.006116207951070374
2021-05-15,2.35391604,2.36831308,2.34671752,2.36831308,1418803.0,0.0
2021-05-16,2.35391604,2.36831308,2.34671752,2.36831308,1418803.0,0.0
2021-05-17,2.36111456,2.36831308,2.34671752,2.35391604,1512399.19,-0.006079027355623046
2021-05-18,2.35391604,2.35391604,2.33232048,2.339519,1701609.41,-0.006116207951070374
2021-05-19,2.339519,2.339519,2.32512196,2.33232048,1553719.42,-0.0030769230769231992
2021-05-20,2.33232048,2.34671752,2.32512196,2.339519,1590669.0,0.0030864197530864335
2021-05-21,2.339519,2.34671752,2.32512196,2.33232048,1175337.98,-0.0030769230769231992
2021-05-22,2.339519,2.34671752,2.32512196,2.33232048,1175337.98,0.0
2021-05-23,2.339519,2.34671752,2.32512196,2.33232048,1175337.98,0.0
2021-05-24,2.33232048,2.339519,2.32512196,2.33232048,930928.07,0.0
2021-05-25,2.339519,2.36111456,2.33232048,2.35391604,3820642.4,0.0092592592592593
2021-05-26,2.35391604,2.36831308,2.34671752,2.36111456,2366460.78,0.003058103975535076
2021-05-27,2.36111456,2.36831308,2.35391604,2.35391604,1729846.6,-0.0030487804878047697
2021-05-28,2.36111456,2.36831308,2.34671752,2.36111456,2095581.19,0.003058103975535076
2021-05-29,2.36111456,2.36831308,2.34671752,2.36111456,2095581.19,0.0
2021-05-30,2.36111456,2.36831308,2.34671752,2.36111456,2095581.19,0.0
2021-05-31,2.36111456,2.36111456,2.339519,2.34671752,1872459.78,-0.0060975609756097615
2021-06-01,2.34671752,2.34671752,2.33232048,2.339519,1783100.87,-0.0030674846625765584
2021-06-02,2.339519,2.36831308,2.32512196,2.36831308,3614953.6,0.012307692307692353
2021-06-03,2.36831308,2.38271012,2.36111456,2.36831308,2674262.55,0.0
2021-06-04,2.36831308,2.39710716,2.36831308,2.38990864,2812085.12,0.009118541033434457
2021-06-05,2.36831308,2.39710716,2.36831308,2.38990864,2812085.12,0.0
2021-06-06,2.36831308,2.39710716,2.36831308,2.38990864,2812085.12,0.0
2021-06-07,2.38990864,2.39710716,2.36831308,2.38990864,2805174.56,0.0
2021-06-08,2.38990864,2.4115042,2.36831308,2.4115042,3681242.72,0.009036144578313365
2021-06-09,2.40430568,2.42590124,2.40430568,2.4115042,2787430.56,0.0
2021-06-10,2.40430568,2.42590124,2.38271012,2.38990864,2541243.99,-0.008955223880597107
2021-06-11,2.38990864,2.40430568,2.3755116,2.38990864,2011294.02,0.0
2021-06-12,2.38990864,2.40430568,2.3755116,2.38990864,2011294.02,0.0
2021-06-13,2.38990864,2.40430568,2.3755116,2.38990864,2011294.02,0.0
2021-06-14,2.38990864,2.40430568,2.3755116,2.38990864,2011294.02,0.0
2021-06-15,2.38990864,2.39710716,2.35391604,2.36111456,2209725.69,-0.012048192771084265
2021-06-16,2.36111456,2.36831308,2.34671752,2.35391604,2246811.86,-0.0030487804878047697
2021-06-17,2.36155722,2.39212754,2.34627206,2.35391464,3092720.64,-5.947535834938122e-07
2021-06-18,2.35391464,2.35391464,2.3309869,2.3309869,2602889.49,-0.009740259740259827
2021-06-19,2.35391464,2.35391464,2.3309869,2.3309869,2602889.49,0.0
2021-06-20,2.35391464,2.35391464,2.3309869,2.3309869,2602889.49,0.0
2021-06-21,2.33862948,2.33862948,2.30805916,2.31570174,2532134.97,-0.006557377049180246
2021-06-22,2.31570174,2.3309869,2.30805916,2.32334432,1989144.04,0.0033003300330032292
2021-06-23,2.31570174,2.3309869,2.31570174,2.32334432,1774258.24,0.0
2021-06-24,2.32334432,2.33862948,2.31570174,2.33862948,2070030.86,0.006578947368421018
2021-06-25,2.3309869,2.35391464,2.3309869,2.34627206,1326846.97,0.0032679738562091387
2021-06-26,2.3309869,2.35391464,2.3309869,2.34627206,1326846.97,0.0
2021-06-27,2.3309869,2.35391464,2.3309869,2.34627206,1326846.97,0.0
2021-06-28,2.34627206,2.35391464,2.32334432,2.3309869,1426092.36,-0.006514657980456029
2021-06-29,2.32334432,2.3309869,2.31570174,2.31570174,1329395.14,-0.006557377049180246
2021-06-30,2.31570174,2.3309869,2.31570174,2.31570174,1647993.33,0.0
2021-07-01,2.32334432,2.3309869,2.31570174,2.32334432,1109275.27,0.0033003300330032292
2021-07-02,2.32334432,2.3309869,2.31570174,2.31570174,1305828.29,-0.0032894736842103978
2021-07-03,2.32334432,2.3309869,2.31570174,2.31570174,1305828.29,0.0
2021-07-04,2.32334432,2.3309869,2.31570174,2.31570174,1305828.29,0.0
2021-07-05,2.31570174,2.32334432,2.30805916,2.32334432,1493881.07,0.0033003300330032292
