trade_date,pe_ttm,pb,total_mv
20240229,22.3787,3.0222,61292885.3786
20240228,22.602,3.0523,61904590.8215
20240227,22.2714,3.0077,60999266.766
20240226,22.2893,3.0101,61048203.2014
20240223,22.9504,3.0994,62858851.3124
20240222,22.8253,3.0825,62516296.2644
20240221,22.6824,3.0632,62124804.7809
20240220,22.8164,3.0813,62491828.0467
20240219,22.5127,3.0403,61659908.6443
20240208,22.0124,2.9727,60289688.4522
20240207,22.066,2.9799,60436497.7585
20240206,22.0838,2.9824,60485434.194
20240205,22.1196,2.9872,60583307.0648
20240202,21.6908,2.9293,59408832.6144
20240201,21.5746,2.9136,59090745.7841
